dateofocc,victim_l_D,victim_l,lon,lat
2013-03-05,Tanker,9,3.38333330037824,6.450000000239129
2015-07-31,Fishing Vessel,4,112.00000000037004,16.50000000042928
2015-07-24,Tanker,9,70.21666670017447,23.016666700086944
2015-07-23,Tanker,9,70.21666670017447,23.016666700086944
2015-08-08,Tanker,9,101.98333330014952,2.050000000276725
2015-08-09,Cargo Ship,3,103.5666667003087,1.1000000001110948
2001-12-08,Merchant Vessel,5,9.45000000033616,0.3833333002812651
2001-12-02,Merchant Vessel,5,-17.16666669970175,9.833333300272102
2001-12-06,Merchant Vessel,5,9.683333299772585,4.050000000341413
2001-12-10,Merchant Vessel,5,82.24999999963279,16.93333330023188
2001-12-06,Merchant Vessel,5,80.283333300437,13.0833332997027
2001-12-10,Merchant Vessel,5,104.06333329982108,1.2416667001247106
2001-12-06,Merchant Vessel,5,106.88333329967844,-6.099999999582167
2001-12-05,Merchant Vessel,5,106.88333329967844,-6.099999999582167
2001-12-05,Merchant Vessel,5,118.11666670019474,5.833333300142726
2001-12-07,Merchant Vessel,5,107.06666669997225,10.349999999735758
2001-12-19,Merchant Vessel,5,-52.083333300273296,-32.04999999965696
2001-12-14,Merchant Vessel,5,4.999999999607724,4.999999999607724
2001-12-15,Merchant Vessel,5,-4.016666699681196,5.249999999840611
2001-12-14,Merchant Vessel,5,91.75000000038966,22.2500000003904
2001-12-15,Merchant Vessel,5,91.99999999972329,19.79166670014007
2001-03-07,Merchant Vessel,5,120.89499999977193,14.611666699738691
2001-03-14,Merchant Vessel,5,3.4666667000392977,6.450000000239129
2001-03-18,Merchant Vessel,5,11.649999999867704,-4.816666700246628
2001-03-17,Vessel,11,117.51666669999544,0.0833333001816072
2001-03-15,Merchant Vessel,5,106.88333329967844,-6.099999999582167
2001-03-15,Vessel,11,105.41666669987391,-0.6166666997510788
2001-03-15,Merchant Vessel,5,104.6333333002802,-5.550000000148941
2001-03-14,Merchant Vessel,5,101.19333330009698,0.9749999999946226
2001-03-20,Vessel,11,-61.99999999986108,10.99999999980173
2001-03-18,Vessel,11,102.00000000004668,2.000000000410012
2001-03-26,Merchant Vessel,5,108.16666669973802,0.2333332997817478
2001-03-21,Merchant Vessel,5,108.16666669973802,0.7166667001752103
2001-03-20,Merchant Vessel,5,105.84999999967653,0.9166666996420644
2001-03-22,Merchant Vessel,5,121.01666669965893,13.766666699563018
2001-03-26,Vessel,11,-80.99999999957623,-1.999999999719364
2001-03-28,Vessel,11,3.0000000004423555,51.25000000042894
2001-03-27,Merchant Vessel,5,91.7333332995932,22.2500000003904
2001-03-30,Merchant Vessel,5,101.00000000001432,2.783333300178981
2001-03-29,Merchant Vessel,5,115.2333332999035,5.333333299676895
2001-04-02,Merchant Vessel,5,50.0166667000608,6.8666666999693575
2001-04-04,Merchant Vessel,5,76.2500000003381,9.933333300005527
2001-04-05,Merchant Vessel,5,102.81666669960998,1.5999999996776069
2001-04-04,Merchant Vessel,5,96.533333300288,5.633333299776552
2001-04-14,Vessel,11,-78.75000000017792,9.500000000202874
2001-04-10,Merchant Vessel,5,44.10333329993245,-0.146666699924765
2001-04-07,Vessel,11,49.783333299900335,14.166666700295366
2001-04-02,Sailing Vessel,8,47.78333329983565,12.58333330013619
2001-04-12,Merchant Vessel,5,80.35000000020085,13.0833332997027
2001-04-13,Merchant Vessel,5,76.2500000003381,9.933333300005527
2001-04-16,Merchant Vessel,5,108.79999999990685,-2.0499999995860776
2001-04-12,Vessel,11,48.33333330016819,12.916666700030136
2001-04-26,Vessel,11,88.06666670025709,22.000000000157456
2001-04-20,Merchant Vessel,5,80.35000000020085,13.0833332997027
2001-04-17,Merchant Vessel,5,89.58333329992837,22.4666666997544
2001-04-18,Merchant Vessel,5,96.81666670031524,-5.583333300118511
2001-04-20,Merchant Vessel,5,120.75000000042826,25.84999999978737
2001-04-16,Merchant Vessel,5,119.06666670036032,24.566666699552517
2001-04-20,Merchant Vessel,5,-70.01666670001697,18.41666669975837
2001-04-24,Merchant Vessel,5,0.0166667002424674,5.633333299776552
2001-01-26,Vessel,11,104.00000000011136,1.2499999997112354
2001-04-22,Merchant Vessel,5,118.11666670019474,5.8166667000703
2001-04-25,Merchant Vessel,5,123.74999999962586,-7.966666699943801
2001-04-27,Merchant Vessel,5,107.06666669997225,20.98333330022797
2001-04-27,Merchant Vessel,5,112.96666670043282,14.866666700228109
2001-04-30,Merchant Vessel,5,97.1666667002816,5.166666700004328
2001-04-18,Merchant Vessel,5,96.81666670031524,5.583333299909839
2001-05-05,Merchant Vessel,5,113.70000000033508,16.03333329993302
2001-05-08,Merchant Vessel,5,-34.88333330025665,-8.099999999646855
2001-05-14,Vessel,11,-17.499999999770978,14.583333300200875
2001-05-11,Merchant Vessel,5,3.38333330037824,6.450000000239129
2001-05-14,Merchant Vessel,5,76.2500000003381,9.933333300005527
2001-05-16,Vessel,11,43.20000000030348,14.799999999564877
2001-05-09,Merchant Vessel,5,100.3333333000512,5.416666700237272
2001-05-12,Merchant Vessel,5,98.69999999985004,3.783333300211325
2001-05-12,Merchant Vessel,5,125.46666670038746,-6.11666670037863
2001-05-09,Merchant Vessel,5,110.31666670030216,-6.883333300250456
2001-05-05,Fishing Vessel,4,102.00000000004668,6.200000000006241
2001-05-11,Merchant Vessel,5,-80.99999999957623,-0.500000000120508
2001-05-06,Merchant Vessel,5,-79.89999999981046,-2.2166666999826816
2001-05-16,Merchant Vessel,5,-9.666666699908887,30.49999999998272
2001-05-16,Vessel,11,48.00000000009896,12.999999999866418
